Smiles,solvent,ppm_values
Cc1ccc(S(=O)(=O)N2B(CCCBr)OC(c3ccccc3)(c3ccccc3)[C@@H]2c2ccccc2)cc1,[2H]C(Cl)(Cl)Cl,34.3
COc1ccc(C(C(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2ccccc2)[Si](C)(C)C)cc1,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],74.9
C[Si](C)(C)CCCCCCB(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],73.6
CC1(C)OB(CC[C@@H](CB2OC(C)(C)C(C)(C)O2)c2ccc(OC(=O)c3ccccc3)cc2)OC1(C)C,[2H]C(Cl)(Cl)Cl,34.7
[NH2+]=C(c1ccc(Cl)cc1)[B-](F)(F)F,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],-0.01
COc1ccc(C([NH3+])[B-](F)(F)F)cc1,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],2.39
CCOc1ccc2ccccc2c1B1C(Br)=Cc2ccccc2N1Cc1ccccc1,[2H]C(Cl)(Cl)Cl,38.22
N#Cc1ccc(C([NH3+])[B-](F)(F)F)cc1,[2H]OC([2H])([2H])[2H],2.27
CO[B-]12Oc3c(I)cc(I)cc3C=[N+]1c1cccc(c1)[B-]1(OC)Oc3c(I)cc(I)cc3C=[N+]1c1cccc(c1)[B-]1(OC)Oc3c(I)cc(I)cc3C=[N+]1c1cccc2c1,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],1.7
COCOc1ccccc1[B-]([NH3+])(c1ccccc1OCOC)c1ccccc1OCOC,[2H]C1([2H])OC([2H])([2H])C([2H])([2H])C1([2H])[2H],-5.03
COc1ccc(-c2ccc3cc(C(=O)OCCC[C@H](CCCCc4ccccc4)B4OC(C)(C)C(C)(C)O4)ccc3c2)cc1C12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3,[2H]C(Cl)(Cl)Cl,34.12
[BH3-]N([Si](C)(C)C)[P+](c1ccccc1)(c1ccccc1)c1ccccc1,[2H]C([2H])(Cl)Cl,-16.4
c1ccc(B2Oc3ccc4ccccc4c3-c3c(ccc4ccccc34)O2)cc1,[2H]C(Cl)(Cl)Cl,26.4
CC(C)N(C(=O)O[C@@H](Cc1ccc(C(F)(F)F)cc1)B1OC(C)(C)C(C)(C)O1)C(C)C,[2H]C(Cl)(Cl)Cl,12.58
Br[Mg]CCCB1C2CCCC1CCC2,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],78.2
C[N+]1(C)c2ccccc2C(c2ccccc2)(c2ccccc2)O[B-]1(Cl)Cl,[2H]C(Cl)(Cl)Cl,8.6
CCB(CC)c1ccccc1B(CC)CC,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],80.8
Cc1ccc(C2C(B3OC(C)(C)C(C)(C)O3)C2(C)B2OC(C)(C)C(C)(C)O2)cc1,[2H]C(Cl)(Cl)Cl,32.5
CC(C)CC(CC(C)C)Oc1c([SiH3])c(C2CC2)c(OC(CC(C)C)CC(C)C)c(B2OC(C)(C)CC(C)(C)O2)c1OC(CC(C)C)CC(C)C,[2H]C(Cl)(Cl)Cl,26.3
CC(C)N(B(Cl)B(Cl)N(C(C)C)C(C)C)C(C)C,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],38.1
CC(C)N(B1B(N(C(C)C)C(C)C)B(N(C(C)C)C(C)C)B1N(C(C)C)C(C)C)C(C)C,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],65.0
C=CCCCCCCCC[B-](F)(F)F.CCCC[N+](CCCC)(CCCC)CCCC,[2H]C(Cl)(Cl)Cl,5.5
