Smiles,solvent,solvent_Smiles,chemical_shift,book_serial_num
CCC1=C(C)C2=C(c3ccc4[nH]c(-c5cccc(C)n5)nc4c3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,CDCl3,[2H]C(Cl)(Cl)Cl,3.93,3491
Cc1cc(C)c(B(Sc2ccccc2)B(Sc2ccccc2)c2c(C)cc(C)cc2C)c(C)c1,CDCl3,[2H]C(Cl)(Cl)Cl,80.6,3493
CCC1=C(C)C2=C(c3ccc(NC(=O)Nc4ccccc4)cc3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,CDCl3,[2H]C(Cl)(Cl)Cl,3.93,3494
CCC1=C(C)C2=C(c3ccc(NC(=S)Nc4ccccc4)cc3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,CDCl3,[2H]C(Cl)(Cl)Cl,3.85,3495
CC(C)N1B([Ge](c2ccccc2)(c2ccccc2)c2ccccc2)N(C(C)C)c2ccccc21,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],30.5,3496
CC(C)N1B([Pb](c2ccccc2)(c2ccccc2)c2ccccc2)N(C(C)C)c2ccccc21,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],39.6,3497
CC(C)N1B([Si](c2ccccc2)(c2ccccc2)c2ccccc2)N(C(C)C)c2ccccc21,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],29.9,3498
CC(C)N1B([Sn](c2ccccc2)(c2ccccc2)c2ccccc2)N(C(C)C)c2ccccc21,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],32.4,3499
[BH3-][P+](C[C@@H](C(=O)CCC)P(=O)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,CDCl3,[2H]C(Cl)(Cl)Cl,-41,3500
CCC1=C(C)C2=C(C)c3c(C)c(CC)c(C)n3[B-](c3ccccc3)(c3ccccc3)[N+]2=C1C,CDCl3,[2H]C(Cl)(Cl)Cl,2.7,3504
C[Si](C)(C)C1(B(c2ccccc2)C2([Si](C)(C)C)C=Cc3ccccc32)C=Cc2ccccc21,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],52.8,3505
CC(C)(C)/N=C1\N(C(C)(C)C)B(c2c(F)c(F)c(F)c(F)c2F)N(C(C)(C)C)[B-]1(C#[N+]C(C)(C)C)c1c(F)c(F)c(F)c(F)c1F,CDCl3,[2H]C(Cl)(Cl)Cl,38.0;-15.0,3506
