Smiles,solvent,B_count,ppm_values
O[B-]([NH2+]Cc1ccccc1)(c1cc(F)c(F)c(F)c1)c1cc(F)c(F)c(F)c1,[2H]C(Cl)(Cl)Cl,1,3
NCC[NH2+][B-](O)(c1cc(F)c(F)c(F)c1)c1cc(F)c(F)c(F)c1,[2H]C(Cl)(Cl)Cl,1,1
O=C(CCCc1ccccc1)O[B-]([NH2+]Cc1ccccc1)(c1ccccc1Cl)c1ccccc1Cl,[2H]C(Cl)(Cl)Cl,1,2
O=C(CCCc1ccccc1)O[B-]([NH2+]Cc1ccccc1)(c1cc(F)c(F)c(F)c1)c1cc(F)c(F)c(F)c1,[2H]C(Cl)(Cl)Cl,1,1
O=C(O)c1ccccc1NCc1ccccc1.OB(c1cc(F)c(F)c(F)c1)c1cc(F)c(F)c(F)c1,[2H]C(Cl)(Cl)Cl,1,2
O=C(O)c1ccccc1[NH+](Cc1ccccc1)[B-](O)(c1ccccc1)c1ccccc1,[2H]C(Cl)(Cl)Cl,1,4
CCCCC(=C=C(C)C)B(O)O,[2H]c1c([2H])c([2H])c(C([2H])([2H])[2H])c([2H])c1[2H],1,29
CC(C)=C=C(CCc1ccccc1)B(O)O,[2H]c1c([2H])c([2H])c(C([2H])([2H])[2H])c([2H])c1[2H],1,29
CC1(C)OB(c2sccc2Br)OC1(C)C,[2H]C(Cl)(Cl)Cl,1,28.7
CC1(C)OB(c2sc3ccccc3c2Br)OC1(C)C,[2H]C(Cl)(Cl)Cl,1,28.9
CC(C)CCOB1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,1,22.01
CCCCOB1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,1,22.06
CC(OB1OC(C)(C)C(C)(C)O1)c1ccccc1,[2H]C(Cl)(Cl)Cl,1,22.09
Cc1ccc(C(C)OB2OC(C)(C)C(C)(C)O2)cc1,[2H]C(Cl)(Cl)Cl,1,22.2
COc1ccc(C(C)OB2OC(C)(C)C(C)(C)O2)cc1,[2H]C(Cl)(Cl)Cl,1,22.29
COc1ccccc1C(C)OB1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,1,22.14
CC(OB1OC(C)(C)C(C)(C)O1)c1ccc(F)cc1,[2H]C(Cl)(Cl)Cl,1,22.02
CC(OB1OC(C)(C)C(C)(C)O1)c1ccccc1Cl,[2H]C(Cl)(Cl)Cl,1,22.12
CC(OB1OC(C)(C)C(C)(C)O1)c1ccccc1Br,[2H]C(Cl)(Cl)Cl,1,22.15
CC(OB1OC(C)(C)C(C)(C)O1)c1ccc([N+](=O)[O-])cc1,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],1,21.84
CC(OB1OC(C)(C)C(C)(C)O1)c1cccc([N+](=O)[O-])c1,[2H]C(Cl)(Cl)Cl,1,22.33
CC1(C)OB(OC(c2ccccc2)c2ccccc2)OC1(C)C,[2H]C(Cl)(Cl)Cl,1,22.26
