compound_id,Smiles,source_doi,nmr_11b_frequency_mhz,nmr_11b_solvent,nmr_11b_shifts_ppm
2u,F[B-](F)(F)/C=C/Cc1ccccc1.[K+],10-1039_c3cc39235j,128.4,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],2.41
2h,CC1(C)OB(/C=C/c2ccc(C#N)cc2)OC1(C)C,10-1039_c3cc39235j,125.7,[2H]C(Cl)(Cl)Cl,29.3
2h,N#Cc1ccc(/C=C/[B-](F)(F)F)cc1.[K+],10-1039_c3cc39235j,128.4,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],2.42
2i,Fc1cc(F)cc(/C=C/[B-](F)(F)F)c1.[K+],10-1039_c3cc39235j,128.4,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],2.46
,CC(C)(C)OC(=O)Nc1cccc(/C=C/B2OC(C)(C)C(C)(C)O2)c1,10-1039_c3cc39235j,125.7,[2H]C(Cl)(Cl)Cl,30.5
2k,CC(C)(C)OC(=O)Nc1cccc(/C=C/[B-](F)(F)F)c1.[K+],10-1039_c3cc39235j,128.4,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],2.7
2l,Cc1ccccc1/C=C/[B-](F)(F)F.[K+],10-1039_c3cc39235j,128.4,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],2.55
2n,F[B-](F)(F)/C=C/c1ccncc1.[K+],10-1039_c3cc39235j,128.4,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],2.38
,CC1(C)OB(/C=C/c2ccnc(Cl)c2)OC1(C)C,10-1039_c3cc39235j,125.7,[2H]C(Cl)(Cl)Cl,29.5
2o,F[B-](F)(F)/C=C/c1ccnc(Cl)c1,10-1039_c3cc39235j,128.4,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],1.9
,CC1(C)OB(/C=C/c2ccc(C#N)nc2)OC1(C)C,10-1039_c3cc39235j,125.7,[2H]C(Cl)(Cl)Cl,29.3
2p,N#Cc1ccc(/C=C/[B-](F)(F)F)cn1,10-1039_c3cc39235j,128.4,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],2.35
,COC(=O)c1cncc(/C=C/B2OC(C)(C)C(C)(C)O2)c1,10-1039_c3cc39235j,125.7,[2H]C(Cl)(Cl)Cl,28.5
2q,COC(=O)c1cncc(/C=C/[B-](F)(F)F)c1.[K+],10-1039_c3cc39235j,128.4,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],2.27
,Cc1ccc2cc(/C=C/B3OC(C)(C)C(C)(C)O3)ccc2n1,10-1039_c3cc39235j,125.7,[2H]C(Cl)(Cl)Cl,29.8
2r,Cc1ccc2cc(/C=C/[B-](F)(F)F)ccc2n1.[K+],10-1039_c3cc39235j,128.4,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],2.4
1l,C/C(=C\c1ccccc1)C(O)/C(=C/C(C)(C)C)B1OC(C)(C)C(C)(C)O1,10-1039_c3sc51616d,128,[2H]C(Cl)(Cl)Cl,30
1m,CCCCCC/C(=C\c1ccccc1)C(O)/C(=C/c1ccccc1)B1OC(C)(C)C(C)(C)O1,10-1039_c3sc51616d,128,[2H]C(Cl)(Cl)Cl,30.3
1n,CC/C=C(\C)C(O)/C(=C/C(C)(C)C)B1OC(C)(C)C(C)(C)O1,10-1039_c3sc51616d,128,[2H]C(Cl)(Cl)Cl,37
1o,CC/C=C(\C)C(O)/C(=C/c1ccccc1)B1OC(C)(C)C(C)(C)O1,10-1039_c3sc51616d,128,[2H]C(Cl)(Cl)Cl,30
1p,CC1(C)OB(/C(=C\c2ccccc2)C(O)C2=CCCCC2)OC1(C)C,10-1039_c3sc51616d,128,[2H]C(Cl)(Cl)Cl,30.3
1q,CC1(C)OB(/C(=C\c2ccccc2)C(O)/C(Br)=C/c2ccccc2)OC1(C)C,10-1039_c3sc51616d,128,[2H]C(Cl)(Cl)Cl,30.2
2k,CC1(C(O)C2(B3OC(C)(C)C(C)(C)O3)OC2c2ccccc2)OC1c1ccccc1,10-1039_c3sc51616d,128,[2H]C(Cl)(Cl)Cl,29.7
2m,CCCCCCC1(C(O)C2(B3OC(C)(C)C(C)(C)O3)OC2c2ccccc2)OC1c1ccccc1,10-1039_c3sc51616d,128,[2H]C(Cl)(Cl)Cl,28.4
2o,CCC1OC1(C)C(O)C1(B2OC(C)(C)C(C)(C)O2)OC1c1ccccc1,10-1039_c3sc51616d,128,[2H]C(Cl)(Cl)Cl,29.4
2p,CC1(C)OB(C2(C(O)C34CCCCC3O4)OC2c2ccccc2)OC1(C)C,10-1039_c3sc51616d,128,[2H]C(Cl)(Cl)Cl,29.7
3k,CC1(C)OB(/C(=C\c2ccccc2)C(O)C2OC2c2ccccc2)OC1(C)C,10-1039_c3sc51616d,128,[2H]C(Cl)(Cl)Cl,30.2
3l,CC(C)(C)/C=C(\B1OC(C)(C)C(C)(C)O1)C(O)C1(C)OC1c1ccccc1,10-1039_c3sc51616d,128,[2H]C(Cl)(Cl)Cl,30.5
3n,CCC1OC1(C)C(O)/C(=C/C(C)(C)C)B1OC(C)(C)C(C)(C)O1,10-1039_c3sc51616d,128,[2H]C(Cl)(Cl)Cl,30.2
3m,CCCCCCC1(C(O)/C(=C/c2ccccc2)B2OC(C)(C)C(C)(C)O2)OC1c1ccccc1,10-1039_c3sc51616d,128,[2H]C(Cl)(Cl)Cl,30.1
3o,CCC1OC1(C)C(O)/C(=C/c1ccccc1)B1OC(C)(C)C(C)(C)O1,10-1039_c3sc51616d,128,[2H]C(Cl)(Cl)Cl,30.8
3p,CC1(C)OB(/C(=C\c2ccccc2)C(O)C23CCCCC2O3)OC1(C)C,10-1039_c3sc51616d,128,[2H]C(Cl)(Cl)Cl,30.5
1c,C=C(B1Nc2cccc3cccc(c23)N1)c1ccc(OC)cc1,10-1039_c4cc01757a,,[2H]C(Cl)(Cl)Cl,29.1
